,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,6431.0,1486.0,0.0,0.0,0.0
1,7233.0,1486.0,0.0,0.0,0.0
2,6778.0,1486.0,0.0,0.0,0.0
3,6154.0,1513.0,7.0,7.0,0.0
4,6123.0,1535.0,17.0,17.0,0.0
5,6273.0,1511.0,28.0,28.0,0.0
6,6524.0,1545.0,48.0,48.0,0.0
7,6442.0,1565.0,62.0,62.0,0.0
8,6784.0,1586.0,90.0,104.0,0.0
9,6589.0,1643.0,132.0,166.0,0.0
10,6255.0,1717.0,155.0,215.0,0.0
11,6399.0,1750.0,205.0,263.0,0.0
12,6568.0,1817.0,225.0,311.0,0.0
13,6976.0,1825.0,239.0,369.0,0.0
14,6935.0,1953.0,282.0,420.0,0.0
15,6569.0,2013.0,328.0,462.0,0.0
16,6535.0,2043.0,338.0,500.0,0.0
17,6201.0,2086.0,381.0,551.0,0.0
18,6160.0,2223.0,426.0,598.0,0.0
19,6727.0,2207.0,459.0,631.0,0.0
20,6267.0,2284.0,513.0,667.0,0.0
21,6961.0,2372.0,517.0,727.0,0.0
22,6161.0,2622.0,563.0,787.0,0.0
23,7659.0,2447.0,597.0,865.0,0.0
24,7076.0,2595.0,666.0,934.0,0.0
25,6533.0,2573.0,755.0,1015.0,0.0
26,6951.0,2529.0,804.0,1054.0,0.0
27,6446.0,2437.0,864.0,1116.0,0.0
28,6268.0,2960.0,921.0,1241.0,0.0
29,6832.0,2818.0,944.0,1254.0,0.0
30,6874.0,2948.0,1032.0,1328.0,0.0
31,6942.0,2554.0,1093.0,1351.0,0.0
32,6316.0,2781.0,1126.0,1444.0,0.0
33,6249.0,2764.0,1159.0,1523.0,0.0
34,6648.0,2569.0,1256.0,1574.0,0.0
35,6507.0,2839.0,1339.0,1685.0,0.0
36,6976.0,3078.0,1442.0,1718.0,0.0
37,6690.0,3402.0,1536.0,1774.0,0.0
38,6706.0,2584.0,1625.0,1879.0,0.0
39,6601.0,2943.0,1710.0,1874.0,0.0
40,7511.0,3415.0,1768.0,1954.0,0.0
41,6107.0,3244.0,1818.0,2114.0,0.0
42,6522.0,3227.0,1871.0,2243.0,0.0
43,6187.0,3455.0,1948.0,2292.0,0.0
44,6426.0,3553.0,1971.0,2379.0,0.0
45,6693.0,3425.0,2032.0,2432.0,0.0
46,6185.0,3312.0,2088.0,2484.0,0.0
47,6134.0,3456.0,2146.0,2540.0,0.0
48,6170.0,3501.0,2262.0,2676.0,0.0
49,6712.0,3725.0,2263.0,2711.0,0.0
50,6801.0,3795.0,2342.0,2876.0,0.0
51,6458.0,4060.0,2406.0,3078.0,0.0
52,6804.0,3585.0,2448.0,3168.0,0.0
53,6580.0,3831.0,2627.0,3289.0,0.0
54,6311.0,3882.0,2805.0,3277.0,0.0
55,6020.0,3956.0,2790.0,3410.0,0.0
56,5907.0,4464.0,2887.0,3415.0,0.0
57,6084.0,4051.0,2923.0,3475.0,0.0
58,6657.0,3976.0,3127.0,3481.0,0.0
59,7302.0,3845.0,3151.0,3691.0,0.0
60,6883.0,4134.0,3259.0,3817.0,0.0
61,6322.0,4558.0,3353.0,3963.0,0.0
62,6121.0,4558.0,3494.0,4268.0,0.0
63,6662.0,4165.0,3525.0,4471.0,0.0
64,6487.0,4581.0,3712.0,4548.0,0.0
65,6690.0,4514.0,3847.0,4737.0,0.0
66,6348.0,4626.0,3952.0,5060.0,0.0
67,6454.0,4148.0,3936.0,5138.0,0.0
68,7067.0,4378.0,4107.0,5169.0,0.0
69,6607.0,4615.0,4241.0,5379.0,0.0
70,6308.0,4478.0,4144.0,5520.0,0.0
71,7500.0,4511.0,4281.0,5691.0,0.0
72,6430.0,4575.0,4454.0,5774.0,0.0
73,6630.0,5167.0,4422.0,5848.0,0.0
74,7093.0,4828.0,4528.0,5994.0,0.0
75,6690.0,4850.0,4644.0,6164.0,0.0
76,6099.0,4751.0,4815.0,6229.0,0.0
77,6681.0,4700.0,4887.0,6187.0,0.0
78,6238.0,4790.0,5037.0,6311.0,0.0
79,6989.0,5285.0,5118.0,6574.0,0.0
80,6637.0,5132.0,5078.0,6650.0,0.0
81,6060.0,4642.0,5269.0,6743.0,0.0
82,6424.0,5054.0,5216.0,6718.0,0.0
83,6065.0,5847.0,5374.0,7006.0,0.0
84,6451.0,5597.0,5492.0,7246.0,0.0
85,6285.0,4897.0,5595.0,7359.0,0.0
86,6835.0,5058.0,5622.0,7414.0,0.0
87,7456.0,5930.0,5709.0,7611.0,0.0
88,6324.0,6393.0,5846.0,7634.0,0.0
89,7665.0,5341.0,6029.0,7807.0,0.0
90,7119.0,5082.0,6092.0,7994.0,0.0
91,6766.0,5560.0,6076.0,8068.0,0.0
92,6946.0,5589.0,6106.0,8140.0,0.0
93,6695.0,5689.0,6260.0,8358.0,0.0
94,6368.0,6350.0,6179.0,8377.0,0.0
95,6266.0,5935.0,6322.0,8584.0,0.0
96,6075.0,5273.0,6730.0,8648.0,0.0
97,6873.0,6627.0,6937.0,8665.0,0.0
98,7108.0,6102.0,7023.0,8651.0,0.0
99,6427.0,6100.0,7265.0,8951.0,0.0
100,6484.0,6780.0,7455.0,9051.0,0.0
101,6182.0,5598.0,7710.0,9068.0,0.0
102,6333.0,6076.0,7696.0,9352.0,0.0
103,6185.0,6519.0,7441.0,9625.0,0.0
104,5778.0,5519.0,7836.0,9154.0,0.0
105,5843.0,5824.0,7883.0,9313.0,0.0
106,6732.0,6472.0,7603.0,9545.0,0.0
107,6933.0,5272.0,7502.0,9726.0,0.0
108,6796.0,5700.0,7393.0,9277.0,0.0
109,6857.0,5474.0,7470.0,8746.0,0.0
110,6800.0,5937.0,7153.0,9253.0,0.0
111,6596.0,5737.0,6975.0,9817.0,0.0
112,6100.0,6869.0,7458.0,8560.0,0.0
113,6213.0,6499.0,7059.0,8167.0,0.0
114,6789.0,6272.0,6949.0,8755.0,0.0
115,6246.0,5327.0,7482.0,8646.0,0.0
116,6317.0,6387.0,7294.0,8202.0,0.0
117,6418.0,5925.0,7066.0,8154.0,0.0
118,6116.0,5350.0,7629.0,8441.0,0.0
119,6597.0,6121.0,7000.0,8280.0,0.0
120,6718.0,6507.0,6707.0,7875.0,0.0
121,6626.0,6497.0,7127.0,7835.0,0.0
122,6980.0,4917.0,6735.0,8365.0,0.0
123,7205.0,5354.0,6973.0,8351.0,0.0
124,6530.0,4870.0,7084.0,7488.0,0.0
125,6223.0,5343.0,6560.0,7368.0,0.0
126,6885.0,5333.0,6872.0,7760.0,0.0
127,7086.0,6736.0,6847.0,7157.0,0.0
128,6755.0,5424.0,6698.0,6712.0,0.0
129,6974.0,4608.0,6873.0,6983.0,0.0
130,7628.0,5118.0,6734.0,7366.0,0.0
131,6519.0,4978.0,6666.0,7018.0,0.0
132,6862.0,5167.0,6707.0,6817.0,0.0
133,6913.0,5183.0,6332.0,6828.0,0.0
134,6751.0,4682.0,6490.0,6950.0,0.0
135,7562.0,4775.0,6293.0,7041.0,0.0
136,6498.0,4581.0,6057.0,6751.0,0.0
137,6630.0,4330.0,6520.0,6326.0,0.0
138,6827.0,4228.0,5926.0,6786.0,0.0
139,6609.0,4331.0,5844.0,6798.0,0.0
140,6686.0,4795.0,6137.0,6151.0,0.0
141,6235.0,4628.0,6064.0,6172.0,0.0
142,6019.0,4163.0,5820.0,6442.0,0.0
143,6383.0,4886.0,6325.0,6247.0,0.0
144,6544.0,4917.0,5765.0,5993.0,0.0
145,7102.0,4840.0,5591.0,5993.0,0.0
146,6727.0,3954.0,5794.0,6406.0,0.0
147,6362.0,4079.0,5557.0,6193.0,0.0
148,6407.0,4575.0,5670.0,5850.0,0.0
149,6538.0,4334.0,5761.0,5827.0,0.0
150,6964.0,4143.0,5487.0,6013.0,0.0
151,6773.0,4380.0,5555.0,5839.0,0.0
152,6131.0,4178.0,5578.0,5444.0,0.0
153,7222.0,4316.0,5452.0,5506.0,0.0
154,6584.0,3776.0,5547.0,5775.0,0.0
155,6573.0,4013.0,5469.0,5457.0,0.0
156,6638.0,4285.0,5500.0,5114.0,0.0
157,6394.0,3759.0,5359.0,5337.0,0.0
158,7397.0,3741.0,5179.0,5419.0,0.0
159,7184.0,3760.0,5257.0,5219.0,0.0
160,7072.0,3483.0,5310.0,5042.0,0.0
161,7148.0,3618.0,5254.0,5006.0,0.0
162,6427.0,3443.0,5159.0,5235.0,0.0
163,6951.0,3430.0,5266.0,4902.0,0.0
164,6313.0,3309.0,5118.0,4638.0,0.0
165,6712.0,3518.0,5244.0,4782.0,0.0
166,6917.0,3348.0,5199.0,4853.0,0.0
167,6952.0,3015.0,5016.0,4634.0,0.0
168,6260.0,3021.0,5149.0,4679.0,0.0
169,6431.0,3069.0,5048.0,4732.0,0.0
170,5993.0,3052.0,4936.0,4690.0,0.0
171,6716.0,2960.0,4988.0,4532.0,0.0
172,6401.0,2957.0,5048.0,4460.0,0.0
173,6281.0,3427.0,4983.0,4565.0,0.0
174,6772.0,2802.0,4957.0,4457.0,0.0
175,6632.0,2883.0,4938.0,4330.0,0.0
176,6474.0,2758.0,4899.0,4311.0,0.0
177,6495.0,2782.0,4880.0,4310.0,0.0
178,6869.0,2711.0,4836.0,4294.0,0.0
179,7566.0,2613.0,4861.0,4183.0,0.0
180,6379.0,2683.0,4824.0,4146.0,0.0
181,6902.0,2545.0,4798.0,4224.0,0.0
182,6683.0,2490.0,4795.0,4169.0,0.0
183,6382.0,2377.0,4772.0,4076.0,0.0
184,6837.0,2336.0,4756.0,4044.0,0.0
185,6376.0,2313.0,4786.0,4074.0,0.0
186,6344.0,2251.0,4758.0,4056.0,0.0
187,6657.0,2243.0,4715.0,3987.0,0.0
188,6588.0,2224.0,4740.0,3984.0,0.0
189,6709.0,2168.0,4732.0,3990.0,0.0
190,6722.0,2144.0,4719.0,3961.0,0.0
191,6268.0,2146.0,4712.0,3942.0,0.0
192,7562.0,2108.0,4708.0,3938.0,0.0
193,6908.0,2113.0,4686.0,3952.0,0.0
194,6827.0,2077.0,4705.0,3935.0,0.0
195,6458.0,2060.0,4700.0,3918.0,0.0
196,5991.0,2048.0,4690.0,3914.0,0.0
197,7327.0,2044.0,4702.0,3922.0,0.0
198,6309.0,2038.0,4700.0,3920.0,0.0
199,5633.0,2038.0,4700.0,3920.0,0.0
200,6517.0,2038.0,4700.0,3920.0,0.0
